ID,MEDV
0,18.020
1,25.645
2,13.791
3,20.904
4,18.804
5,20.919
6,19.492
7,20.011
8,37.021
9,20.411
10,22.470
11,12.581
12,23.464
13,14.706
14,22.328
15,22.042
16,19.099
17,26.583
18,19.504
19,19.807
20,22.651
21,47.121
22,22.113
23,12.680
24,15.927
25,32.778
26,15.072
27,22.317
28,23.893
29,21.888
30,44.156
31,20.513
32,16.744
33,19.287
34,19.252
35,20.160
36,30.436
37,34.271
38,48.562
39,28.801
40,14.305
41,44.934
42,23.203
43,12.463
44,20.931
45,24.633
46,16.720
47,21.589
48,17.579
49,17.076
50,19.840
51,33.168
52,22.147
53,5.888
54,14.932
55,14.087
56,21.274
57,15.075
58,7.930
59,16.102
60,19.447
61,19.144
62,30.934
63,20.275
64,49.840
65,32.425
66,10.988
67,22.234
68,21.603
69,15.216
70,16.986
71,19.895
72,20.826
73,16.291
74,23.479
75,18.785
76,18.926
77,31.634
78,18.976
79,33.903
80,36.077
81,47.883
82,30.238
83,25.787
84,15.881
85,34.095
86,12.046
87,25.204
88,14.268
89,17.753
90,10.127
91,19.937
92,14.584
93,20.342
94,17.431
95,21.299
96,37.522
97,5.743
98,16.684
99,29.431
100,25.084
101,16.542
102,28.217
103,30.512
104,40.943
