ID,MEDV
0,18.021
1,25.636
2,13.761
3,20.942
4,18.787
5,20.923
6,19.489
7,20.008
8,36.991
9,20.401
10,22.472
11,12.578
12,23.477
13,14.706
14,22.330
15,22.037
16,19.114
17,26.581
18,19.497
19,19.793
20,22.649
21,47.117
22,22.094
23,12.678
24,15.931
25,32.790
26,15.083
27,22.326
28,23.874
29,21.896
30,44.151
31,20.497
32,16.738
33,19.293
34,19.252
35,20.174
36,30.421
37,34.247
38,48.536
39,28.806
40,14.309
41,44.910
42,23.207
43,12.460
44,20.934
45,24.633
46,16.725
47,21.594
48,17.580
49,17.071
50,19.849
51,33.151
52,22.137
53,5.918
54,14.960
55,14.081
56,21.271
57,15.086
58,7.931
59,16.102
60,19.453
61,19.145
62,30.927
63,20.280
64,49.805
65,32.419
66,11.001
67,22.225
68,21.605
69,15.238
70,16.980
71,19.889
72,20.827
73,16.268
74,23.493
75,18.792
76,18.951
77,31.638
78,18.986
79,33.876
80,36.039
81,47.896
82,30.239
83,25.793
84,15.870
85,34.086
86,12.037
87,25.198
88,14.277
89,17.744
90,10.109
91,19.938
92,14.576
93,20.318
94,17.436
95,21.316
96,37.509
97,5.754
98,16.691
99,29.437
100,25.097
101,16.541
102,28.211
103,30.510
104,40.962
