ID,MEDV
0,17.993
1,25.606
2,13.791
3,21.039
4,18.787
5,20.944
6,19.499
7,19.981
8,36.929
9,20.339
10,22.492
11,12.585
12,23.488
13,14.716
14,22.329
15,22.056
16,19.147
17,26.543
18,19.475
19,19.696
20,22.633
21,47.097
22,22.090
23,12.686
24,15.945
25,32.852
26,15.104
27,22.350
28,23.833
29,22.023
30,44.153
31,20.473
32,16.672
33,19.311
34,19.214
35,20.192
36,30.392
37,34.234
38,48.490
39,28.776
40,14.327
41,44.823
42,23.199
43,12.455
44,20.913
45,24.602
46,16.757
47,21.592
48,17.592
49,17.070
50,19.851
51,33.163
52,22.146
53,6.036
54,15.020
55,14.060
56,21.268
57,15.082
58,7.957
59,16.065
60,19.455
61,19.156
62,30.850
63,20.274
64,49.727
65,32.415
66,11.007
67,22.216
68,21.603
69,15.313
70,16.946
71,19.837
72,20.796
73,16.295
74,23.514
75,18.815
76,19.013
77,31.647
78,19.033
79,33.851
80,35.981
81,47.900
82,30.251
83,25.773
84,15.845
85,34.045
86,12.021
87,25.191
88,14.277
89,17.726
90,10.083
91,19.929
92,14.585
93,20.242
94,17.449
95,21.355
96,37.514
97,5.742
98,16.715
99,29.488
100,25.100
101,16.536
102,28.190
103,30.549
104,41.067
